iter	RMSE
0	0.3977569735
1	0.3962506379
2	0.3946900705
3	0.3931962188
4	0.3916764512
5	0.3901601716
6	0.3885663474
7	0.3871943739
8	0.385774761
9	0.3843046926
10	0.3827935512
11	0.3812935245
12	0.3797976814
13	0.3783857428
14	0.3768674182
15	0.3754014729
16	0.3739359712
17	0.372490058
18	0.3711615964
19	0.3697314769
20	0.3683137136
21	0.3670673376
22	0.3656300293
23	0.3642596497
24	0.3629326681
25	0.3615937557
26	0.3602384969
27	0.3589562793
28	0.3577767269
29	0.3563314343
30	0.3550310324
31	0.3537722859
32	0.3523738536
33	0.351024095
34	0.3496359512
35	0.3483352524
36	0.3470915404
37	0.3459111003
38	0.3446794992
39	0.3435220425
40	0.3422321619
41	0.3410672804
42	0.3397786961
43	0.3385645371
44	0.3374200996
45	0.3361696276
46	0.3349286166
47	0.3336766692
48	0.3324316236
49	0.3311519595
50	0.3299525357
51	0.3286817546
52	0.3274521728
53	0.3263372724
54	0.3252349892
55	0.3241395643
56	0.3230560359
57	0.3218682888
58	0.3206956672
59	0.3195594445
60	0.3183819027
61	0.3171579547
62	0.3160144733
63	0.3148711864
64	0.3137144521
65	0.3126565135
66	0.3115530226
67	0.3104538114
68	0.3094210732
69	0.3083108263
70	0.3071933456
71	0.3060973711
72	0.3050181199
73	0.3039430602
74	0.3028590195
75	0.3017933663
76	0.3007717881
77	0.2997224056
78	0.2986288196
79	0.2975810479
80	0.2965528067
81	0.2954998974
82	0.2945036339
83	0.2934882409
84	0.2924041252
85	0.2913688106
86	0.2903141774
87	0.2892918277
88	0.2884547003
89	0.2875501765
90	0.2865140998
91	0.2855091655
92	0.2845199812
93	0.2835646002
94	0.2825748941
95	0.2816021964
96	0.2807269905
97	0.2797573351
98	0.2788533113
99	0.2779062558
100	0.2769853435
101	0.2760310392
102	0.2750908311
103	0.2741401229
104	0.2731724521
105	0.2722279004
106	0.2713149157
107	0.2704596735
108	0.2695507116
109	0.2686370504
110	0.267830509
111	0.2669464836
112	0.2660986194
113	0.2652119417
114	0.2643632282
115	0.2636454277
116	0.2628575713
117	0.2620174587
118	0.2611661613
119	0.2603109251
120	0.2594276814
121	0.2585847217
122	0.2577434674
123	0.2568970396
124	0.2560981284
125	0.2553293952
126	0.2544565904
127	0.2536368161
128	0.2528604731
129	0.2520332872
130	0.2512254481
131	0.2504212587
132	0.2496154827
133	0.2489074704
134	0.2481751507
135	0.2473638617
136	0.2466355907
137	0.2458526701
138	0.2450705376
139	0.2442698355
140	0.2435040767
141	0.242779555
142	0.2420344595
143	0.2412818512
144	0.240517127
145	0.2397520915
146	0.2389891286
147	0.2382910564
148	0.2375525049
149	0.236838956
150	0.2361039254
151	0.2354150001
152	0.2347352188
153	0.2341420575
154	0.2334323036
155	0.232771558
156	0.2320631872
157	0.2314112344
158	0.2307018888
159	0.2300378337
160	0.2293556139
161	0.2286632979
162	0.2280001552
163	0.2273255069
164	0.2267316669
165	0.2260861238
166	0.2254202057
167	0.2248175445
168	0.2241814118
169	0.2236066399
170	0.222987863
171	0.222326296
172	0.2216337898
173	0.2210260135
174	0.220414482
175	0.2197730943
176	0.219125521
177	0.2185055236
178	0.2178987507
179	0.2173492779
180	0.2167624544
181	0.2161474256
182	0.2155422548
183	0.2148897493
184	0.214280633
185	0.2136708326
186	0.2130786803
187	0.2124729554
188	0.2118240327
189	0.211258357
190	0.2106853231
191	0.2101925134
192	0.2096530458
193	0.2091263996
194	0.2085474654
195	0.2079884627
196	0.2074485783
197	0.206831015
198	0.2062769404
199	0.2057161653
200	0.2051673251
201	0.2045990391
202	0.2040988164
203	0.2035715715
204	0.2030348309
205	0.2024604278
206	0.2019340623
207	0.2013867118
208	0.2008585008
209	0.200339947
210	0.1998230121
211	0.1992720832
212	0.1987586333
213	0.1982108247
214	0.1977025656
215	0.1972014466
216	0.1967059954
217	0.1962040293
218	0.195670311
219	0.1951666976
220	0.1946766743
221	0.1942329006
222	0.1937247066
223	0.1931764044
224	0.1926739048
225	0.192191301
226	0.1917750504
227	0.1912695867
228	0.1907661919
229	0.190298816
230	0.1898215033
231	0.1893620297
232	0.1889101905
233	0.1885382268
234	0.1880930993
235	0.1876587805
236	0.1872318643
237	0.1867695514
238	0.1863695101
239	0.1859111795
240	0.1854960866
241	0.1850411736
242	0.1846255378
243	0.184220736
244	0.1837751821
245	0.1833479119
246	0.1829532139
247	0.182485676
248	0.1820494824
249	0.1816697413
250	0.1812396598
251	0.1808756328
252	0.1804348169
253	0.180041886
254	0.1796808449
255	0.1793018527
256	0.178873728
257	0.1784672919
258	0.1780353205
259	0.1775898083
260	0.1771888084
261	0.1767937215
262	0.176399063
263	0.1760159234
264	0.1756257741
265	0.1752595457
266	0.1748846765
267	0.1745090415
268	0.1741537319
269	0.1737690187
270	0.173359554
271	0.1729806714
272	0.172649572
273	0.1722894774
274	0.1719552757
275	0.1715811763
276	0.1712244751
277	0.1708619631
278	0.1704718246
279	0.1700993595
280	0.16973614
281	0.1693852084
282	0.1689681838
283	0.1686511791
284	0.1682710586
285	0.1679297037
286	0.1676145955
287	0.1672715268
288	0.1669282355
289	0.1666177518
290	0.1662814347
291	0.1659307707
292	0.165611818
293	0.1652694966
294	0.1649714191
295	0.164608313
296	0.1642615864
297	0.1639588471
298	0.1636205217
299	0.1632893083
300	0.1629923837
301	0.1627064114
302	0.1623955576
303	0.1620662171
304	0.1617297242
305	0.1614211256
306	0.1611088726
307	0.1607874652
308	0.1604921626
309	0.1601930927
310	0.1599306536
311	0.1596287285
312	0.1593487583
313	0.1590639013
314	0.1587836393
315	0.1584868615
316	0.1582396967
317	0.1579272904
318	0.1576333066
319	0.1573233389
320	0.1570517387
321	0.1567234041
322	0.1564015773
323	0.1561066335
324	0.1558753484
325	0.1555798921
326	0.1553338699
327	0.1550471829
328	0.1547635048
329	0.1544847338
330	0.1542329663
331	0.1539284688
332	0.1536874583
333	0.1534203652
334	0.1531562009
335	0.152876351
336	0.1526158066
337	0.1523516191
338	0.152121754
339	0.1518583473
340	0.1516153334
341	0.1513702157
342	0.1511074454
343	0.1508586584
344	0.1506369488
345	0.1504090377
346	0.150163872
347	0.1498895733
348	0.1496131276
349	0.1493470329
350	0.1491132892
351	0.1488783768
352	0.148658991
353	0.1484092367
354	0.1481504696
355	0.1479298416
356	0.1477185436
357	0.1474746515
358	0.1472236816
359	0.1470208795
360	0.1468057315
361	0.1466069571
362	0.1463785547
363	0.1461440304
364	0.1458751854
365	0.145654169
366	0.1454571395
367	0.1452730663
368	0.1450498982
369	0.1448116674
370	0.1446177072
371	0.1443967231
372	0.1441932401
373	0.1439496848
374	0.1437458754
375	0.1435513568
376	0.1433332988
377	0.1430956246
378	0.1429295832
379	0.1427546814
380	0.142562217
381	0.1423719161
382	0.1421664541
383	0.1419644606
384	0.1417945698
385	0.1415657935
386	0.1413596685
387	0.1411766068
388	0.1409657043
389	0.1407651347
390	0.1405747188
391	0.1403924829
392	0.1402006502
393	0.1400424049
394	0.1398521111
395	0.1396402275
396	0.1394496641
397	0.1392426022
398	0.1390547286
399	0.1388841296
400	0.1386945858
401	0.1385079473
402	0.1383460796
403	0.1381457148
404	0.137970649
405	0.1378157519
406	0.1376126064
407	0.1374441818
408	0.1372627409
409	0.1370471676
410	0.1368303669
411	0.1366733363
412	0.1365014092
413	0.1363319217
414	0.1361571047
415	0.1360136988
416	0.1358540395
417	0.1357015675
418	0.1355397303
419	0.1353879502
420	0.1352079041
421	0.1350095732
422	0.1348567575
423	0.1346930038
424	0.1345358369
425	0.1343647701
426	0.1342174289
427	0.1340562592
428	0.133861452
429	0.1336949567
430	0.1335483878
431	0.133413687
432	0.1332859297
433	0.1331237455
434	0.1329735275
435	0.1328528057
436	0.1327334401
437	0.1325832137
438	0.1324539535
439	0.132280147
440	0.1321695523
441	0.1320087059
442	0.1319039722
443	0.1317570296
444	0.1316338048
445	0.1314828514
446	0.1313558507
447	0.1312034027
448	0.1310482254
449	0.1309005114
450	0.1307647938
451	0.1306143412
452	0.1304850045
453	0.1303523614
454	0.1302235057
455	0.1301077365
456	0.1300184701
457	0.1298863051
458	0.1297519538
459	0.1296396339
460	0.1295265405
461	0.1294047316
462	0.1292450656
463	0.1291280722
464	0.129027107
465	0.1289437485
466	0.1288236245
467	0.1286948134
468	0.1285756692
469	0.1284913355
470	0.1283738077
471	0.1282531015
472	0.1281296367
473	0.128027798
474	0.1279239361
475	0.1278229206
476	0.1277100633
477	0.1276146112
478	0.1275007003
479	0.1274025371
480	0.1273101768
481	0.1271959285
482	0.1270847511
483	0.1269614894
484	0.1268615561
485	0.126745761
486	0.1266255587
487	0.1265250078
488	0.1264069167
489	0.1262863132
490	0.1261717582
491	0.1260883056
492	0.1259494638
493	0.1258447404
494	0.1257437269
495	0.1256201627
496	0.1255330498
497	0.1254112668
498	0.1253060713
499	0.1252110029
500	0.1251093519
501	0.1249975391
502	0.1249105283
503	0.1248346321
504	0.1247375874
505	0.1246325605
506	0.1245316966
507	0.1244085435
508	0.1243128555
509	0.1242078216
510	0.1240880792
511	0.1239885636
512	0.1238819945
513	0.1238063279
514	0.1237270485
515	0.1236505878
516	0.1235592205
517	0.1234800709
518	0.123387989
519	0.1232763668
520	0.1231596401
521	0.123073694
522	0.1229945135
523	0.1229039417
524	0.1228162744
525	0.122728366
526	0.122618113
527	0.1225442922
528	0.1224121589
529	0.1223231568
530	0.1222315178
531	0.1221470707
532	0.1220749664
533	0.1219996091
534	0.121917608
535	0.1218361986
536	0.1217510718
537	0.1216526313
538	0.1215768147
539	0.1214775946
540	0.1214006126
541	0.1213306815
542	0.1212518124
543	0.121164536
544	0.1210857412
545	0.1209934651
546	0.1209195004
547	0.1208293403
548	0.1207402884
549	0.1206587204
550	0.120576869
551	0.120501711
552	0.1204178573
553	0.1203109105
554	0.1202317675
555	0.1201557768
556	0.1200797192
557	0.1200043741
558	0.1199254388
559	0.1198491338
560	0.119775072
561	0.1196873766
562	0.1196041975
563	0.1195172486
564	0.1194574408
565	0.1193976631
566	0.1193164014
567	0.1192325124
568	0.119165437
569	0.1190716541
570	0.1190001408
571	0.1189187802
572	0.1188395229
573	0.1187790724
574	0.1186823951
575	0.1186129418
576	0.1185203616
577	0.1184599822
578	0.1183832635
579	0.1183340761
580	0.1182437614
581	0.1181605269
582	0.1180901014
583	0.1180404866
584	0.117975947
585	0.1179012672
586	0.1178207805
587	0.1177427422
588	0.1176741591
589	0.1176001038
590	0.1175356671
591	0.1174571824
592	0.117354779
593	0.117298539
594	0.1172200074
595	0.1171786524
596	0.1171161106
597	0.1170814267
598	0.11701838
599	0.1169479213
600	0.1168971403
601	0.1168489001
602	0.1167631244
603	0.1166969335
604	0.116637215
605	0.1165664319
606	0.1165271957
607	0.1164698937
608	0.1163922391
609	0.1162995515
610	0.1162496456
611	0.1161957734
612	0.11612763
613	0.1160644546
614	0.115993868
615	0.1159482944
616	0.1158679927
617	0.1158106024
618	0.1157590031
619	0.1156977985
620	0.115638279
621	0.1155510919
622	0.1154846756
623	0.1153991121
624	0.1153429067
625	0.1152903515
626	0.1152375087
627	0.1151650975
628	0.1151089762
629	0.1150648887
630	0.1149987309
631	0.11494534
632	0.114878109
633	0.1148186147
634	0.1147652143
635	0.1146991441
636	0.1146364689
637	0.1145665384
638	0.1145195451
639	0.1144776449
640	0.1144205124
641	0.1143515525
642	0.1142929653
643	0.1142464488
644	0.1142114521
645	0.114155736
646	0.1141053915
647	0.1140527155
648	0.1140001224
649	0.113963716
650	0.1139114704
651	0.113870428
652	0.1138289731
653	0.113773718
654	0.1137226345
655	0.1136850011
656	0.113642867
657	0.1135829321
658	0.1135217398
659	0.1134535018
660	0.1134223629
661	0.1133716701
662	0.1133354844
663	0.1132761116
664	0.1132391504
665	0.113196374
666	0.1131598736
667	0.1131242635
668	0.1130903806
669	0.1130273901
670	0.1129642757
671	0.1129190244
672	0.1128837624
673	0.1128372315
674	0.1127933834
675	0.112755911
676	0.1126862219
677	0.1126409179
678	0.1125889464
679	0.1125441732
680	0.1125005469
681	0.1124607094
682	0.1124349388
683	0.1123986041
684	0.1123419453
685	0.1123001727
686	0.1122518152
687	0.1122102495
688	0.1121637268
689	0.1121294129
690	0.112091534
691	0.1120465876
692	0.1120046676
693	0.111945021
694	0.1118839402
695	0.1118529108
696	0.1117932502
697	0.1117631406
698	0.1117385212
699	0.1116717907
700	0.1116371632
