iter	Passed	Remaining
0	3	18274
1	11	35122
2	13	26956
3	15	22825
4	17	20562
5	19	19088
6	21	18309
7	23	17490
8	25	16818
9	27	16311
10	29	15858
11	31	15517
12	33	15221
13	35	14975
14	36	14743
15	38	14553
16	40	14357
17	42	14218
18	44	14074
19	46	14045
20	49	14107
21	52	14317
22	55	14393
23	58	14483
24	60	14359
25	62	14255
26	64	14237
27	68	14679
28	72	14956
29	75	15046
30	78	15029
31	80	14983
32	82	14944
33	85	14938
34	87	14931
35	89	14850
36	91	14760
37	93	14710
38	95	14624
39	97	14537
40	99	14468
41	102	14521
42	104	14460
43	106	14367
44	108	14379
45	110	14327
46	112	14228
47	113	14130
48	115	14039
49	117	13951
50	118	13866
51	120	13786
52	122	13708
53	123	13641
54	125	13576
55	127	13524
56	129	13461
57	130	13398
58	132	13335
59	134	13270
60	135	13206
61	137	13147
62	138	13091
63	140	13034
64	142	12982
65	143	12925
66	145	12871
67	147	12826
68	148	12773
69	150	12723
70	151	12675
71	153	12629
72	155	12585
73	156	12540
74	158	12494
75	159	12452
76	161	12410
77	162	12373
78	164	12339
79	166	12303
80	167	12264
81	169	12229
82	171	12194
83	172	12164
84	174	12130
85	175	12100
86	177	12078
87	179	12062
88	181	12033
89	182	12004
90	184	11976
91	186	11965
92	187	11937
93	189	11908
94	191	11882
95	192	11855
96	194	11828
97	195	11802
98	197	11777
99	199	11753
100	200	11731
101	202	11714
102	204	11696
103	206	11680
104	207	11663
105	209	11642
106	210	11620
107	212	11597
108	214	11577
109	215	11557
110	217	11538
111	219	11518
112	220	11499
113	222	11480
114	223	11461
115	225	11442
116	227	11422
117	228	11403
118	230	11385
119	231	11367
120	233	11350
121	235	11332
122	236	11317
123	238	11301
124	240	11286
125	241	11270
126	243	11254
127	244	11238
128	246	11222
129	248	11204
130	249	11189
131	251	11175
132	252	11160
133	254	11147
134	256	11136
135	258	11126
136	259	11115
137	261	11106
138	263	11097
139	264	11084
140	266	11069
141	267	11055
142	269	11046
143	271	11045
144	273	11036
145	275	11027
146	276	11018
147	278	11004
148	279	10992
149	281	10978
150	283	10966
151	284	10954
152	286	10944
153	287	10931
154	291	11003
155	293	11005
156	295	11003
157	297	10999
158	299	10991
159	300	10980
160	302	10969
161	304	10960
162	305	10950
163	307	10937
164	308	10924
165	310	10910
166	312	10898
167	313	10886
168	315	10873
169	316	10862
170	318	10851
171	319	10842
172	321	10833
173	323	10824
174	324	10814
175	326	10806
176	328	10796
177	329	10786
178	331	10778
179	333	10771
180	334	10763
181	336	10753
182	338	10745
183	339	10741
184	341	10732
185	343	10724
186	344	10716
187	346	10709
188	348	10701
189	350	10720
190	352	10712
191	353	10705
192	355	10698
193	357	10691
194	358	10683
195	360	10675
196	362	10668
197	363	10660
198	365	10652
199	367	10645
200	369	10672
201	371	10663
202	373	10656
203	374	10648
204	376	10641
205	378	10633
206	379	10626
207	381	10619
208	382	10612
209	384	10604
210	386	10597
211	387	10589
212	389	10581
213	391	10572
214	392	10570
215	394	10561
216	396	10557
217	397	10550
218	399	10544
219	401	10539
220	402	10531
221	404	10523
222	405	10516
223	407	10510
224	409	10502
225	410	10496
226	412	10490
227	414	10482
228	415	10475
229	417	10469
230	418	10462
231	420	10455
232	422	10448
233	423	10442
234	425	10435
235	427	10431
236	428	10424
237	430	10418
238	431	10411
239	433	10404
240	435	10399
241	436	10392
242	438	10386
243	440	10380
244	441	10374
245	443	10368
246	444	10361
247	446	10356
248	448	10352
249	449	10346
250	451	10340
251	453	10334
252	454	10328
253	456	10322
254	457	10316
255	459	10310
256	461	10304
257	463	10306
258	464	10301
259	466	10295
260	467	10289
261	469	10284
262	471	10278
263	472	10273
264	474	10268
265	476	10263
266	477	10258
267	479	10255
268	481	10250
269	482	10246
270	484	10240
271	486	10235
272	487	10229
273	489	10223
274	490	10218
275	492	10218
276	494	10212
277	495	10208
278	497	10203
279	499	10198
280	500	10193
281	502	10188
282	504	10183
283	505	10177
284	507	10172
285	509	10170
286	510	10165
287	512	10160
288	513	10155
289	515	10152
290	517	10155
291	519	10151
292	520	10145
293	522	10140
294	524	10139
295	526	10136
296	527	10132
297	529	10127
298	530	10123
299	532	10118
300	534	10114
301	535	10109
302	537	10103
303	538	10098
304	540	10094
305	542	10090
306	543	10087
307	545	10083
308	547	10080
309	548	10074
310	550	10069
311	552	10070
312	554	10068
313	555	10065
314	557	10060
315	558	10054
316	560	10048
317	562	10044
318	564	10045
319	565	10041
320	567	10037
321	568	10033
322	570	10029
323	572	10025
324	573	10022
325	575	10018
326	577	10016
327	579	10014
328	580	10011
329	582	10007
330	584	10004
331	585	10001
332	587	9997
333	589	9995
334	591	9995
335	592	9993
336	594	9989
337	596	9984
338	597	9980
339	599	9976
340	601	9974
341	602	9971
342	604	9968
343	606	9965
344	607	9961
345	609	9957
346	611	9953
347	612	9949
348	614	9944
349	615	9940
350	617	9935
351	618	9929
352	620	9925
353	621	9920
354	623	9914
355	625	9909
356	626	9904
357	628	9898
358	629	9894
359	631	9890
360	633	9887
361	634	9884
362	636	9880
363	637	9876
364	639	9872
365	641	9868
366	642	9865
367	644	9860
368	645	9856
369	647	9853
370	649	9849
371	650	9846
372	652	9843
373	654	9840
374	656	9854
375	658	9851
376	660	9847
377	661	9844
378	663	9840
379	665	9837
380	666	9833
381	668	9829
382	669	9825
383	671	9821
384	673	9818
385	674	9814
386	676	9810
387	677	9806
388	679	9802
389	681	9798
390	682	9795
391	684	9791
392	686	9788
393	687	9786
394	689	9782
395	691	9779
396	692	9776
397	694	9772
398	695	9768
399	697	9764
400	699	9760
401	700	9757
402	702	9753
403	703	9749
404	705	9746
405	707	9743
406	708	9739
407	710	9736
408	712	9733
409	713	9729
410	715	9725
411	716	9721
412	718	9718
413	720	9715
414	721	9712
415	723	9708
416	724	9705
417	726	9701
418	728	9698
419	729	9695
420	731	9691
421	732	9688
422	734	9684
423	736	9680
424	737	9677
425	739	9675
426	741	9671
427	742	9668
428	744	9665
429	745	9661
430	747	9658
431	749	9655
432	750	9652
433	752	9648
434	753	9645
435	755	9641
436	757	9642
437	759	9640
438	760	9638
439	762	9635
440	764	9633
441	765	9630
442	767	9627
443	769	9624
444	770	9622
445	772	9619
446	774	9616
447	775	9612
448	777	9609
449	778	9607
450	780	9603
451	782	9600
452	783	9599
453	785	9596
454	787	9592
455	788	9588
456	790	9585
457	791	9582
458	793	9579
459	795	9575
460	796	9571
461	798	9568
462	799	9564
463	801	9561
464	802	9558
465	804	9555
466	806	9551
467	807	9547
468	809	9544
469	810	9540
470	812	9537
471	814	9533
472	815	9531
473	817	9528
474	818	9525
475	820	9522
476	822	9520
477	823	9518
478	825	9514
479	827	9511
480	828	9507
481	830	9504
482	831	9501
483	833	9499
484	835	9496
485	836	9492
486	838	9488
487	839	9484
488	841	9480
489	842	9476
490	844	9472
491	845	9468
492	847	9464
493	849	9463
494	850	9463
495	852	9460
496	854	9457
497	855	9454
498	857	9453
499	859	9450
500	860	9448
501	862	9446
502	864	9444
503	865	9441
504	867	9439
505	869	9436
506	870	9433
507	872	9429
508	873	9426
509	875	9423
510	876	9420
511	878	9419
512	880	9416
513	881	9413
514	883	9410
515	885	9408
516	886	9405
517	888	9403
518	890	9401
519	891	9399
520	893	9396
521	895	9393
522	896	9391
523	898	9388
524	900	9386
525	901	9384
526	903	9382
527	905	9380
528	906	9377
529	908	9373
530	909	9371
531	911	9367
532	913	9365
533	914	9361
534	916	9359
535	917	9357
536	919	9355
537	921	9353
538	922	9350
539	924	9347
540	926	9345
541	927	9342
